sample_idx,rel_param_dist,mae_counts_per_shot,rmse_counts_per_shot,flip_rate,total_shift_vs_baseline,total_defects,corrected_total,rejected_total,param__gaussian_sigma,param__derivative_threshold,param__derivative_threshold_pos,param__derivative_threshold_neg,param__peak_step_filter_enabled,param__peak_step_filter_window_px,param__peak_step_filter_min_abs_delta_m,param__min_same_sign_peak_distance_um,param__zero_crossing_min_distance_um,param__defect_position_hist_half_window_um
23,0.1216869123291364,0.9259259259259259,1.4272480642961256,0.48148148148148145,21,470,38,46,0.257498449457545,0.0,0.05185906955290236,-0.03164266829786877,True,3,0.10015930874546966,6.493857831266831,2.8253378361887735,4.0
30,0.21967636855463712,0.9259259259259259,1.4272480642961256,0.48148148148148145,-23,426,47,42,0.3562739461229057,0.0,0.0638761713625179,-0.04131382074298,True,5,0.09129049326666117,9.477350040408936,2.3379948890466182,4.0
292,0.12026764058100312,0.9259259259259259,1.4272480642961256,0.48148148148148145,17,466,59,39,0.26751696425612254,0.0,0.06365774515523523,-0.03351326193098972,True,3,0.09875681930875203,6.881158509150935,2.9992087448927705,4.0
264,0.25824185269811534,0.9259259259259259,1.401057801435388,0.5185185185185185,-3,446,33,8,0.39453887707628676,0.0,0.054023924954241805,-0.04534977074522415,True,2,0.10334954940769572,7.122713718988338,2.495071920347557,4.0
260,0.1913066069926348,0.9259259259259259,1.319371343004213,0.5555555555555556,17,466,23,67,0.30663418784970176,0.0,0.03744995400692974,-0.03826405541605782,True,5,0.07528719522475474,6.13334346599734,2.7622406923335583,4.0
144,0.17340780586073817,0.9259259259259259,1.2619796324000607,0.5925925925925926,15,464,69,26,0.2354783329386293,0.0,0.06900260901804185,-0.034394884414012346,True,4,0.07710154452444488,6.515366978572169,3.614027403893083,4.0
143,0.25594224923800807,0.9629629629629629,1.7427096823731247,0.4074074074074074,18,467,39,4,0.32103811896753626,0.0,0.053164676950246445,-0.04335341837773424,True,2,0.07577342254696746,8.88421536450445,2.6399545941560607,4.0
122,0.21667106764840713,0.9629629629629629,1.46565621758588,0.48148148148148145,26,475,42,49,0.4253448932826358,0.0,0.05305851338962199,-0.026558460908068144,True,4,0.08596590934164637,5.824267870764641,2.351485502044265,4.0
217,0.21981191652005158,0.9629629629629629,1.4907119849998598,0.48148148148148145,-26,423,86,22,0.2928915867189475,0.0,0.07785624037023488,-0.044208666478798495,True,4,0.09910656339425801,8.91459709188278,2.566824828355058,4.0
50,0.2769737253204026,0.9629629629629629,1.5153535218873173,0.48148148148148145,-14,435,32,75,0.31290435590781013,0.0,0.05497991629442924,-0.029268068778314456,True,2,0.10965664436266542,10.475229341555062,2.849062206027706,4.0
249,0.22904993700701423,0.9629629629629629,1.387777332977422,0.5185185185185185,24,473,21,77,0.3803282433249607,0.0,0.03658727569159033,-0.030028209425686896,True,5,0.08130337249732288,5.601460979089743,2.516969487716498,4.0
239,0.20010965968326,0.9629629629629629,1.3608276348795434,0.5555555555555556,-2,447,34,115,0.34899179198387303,0.0,0.05394307267158893,-0.021702314343885525,True,5,0.09987721237869013,5.621246299519317,2.738077375010426,4.0
179,0.18997010114391044,0.9629629629629629,1.3052600138300812,0.5925925925925926,4,453,64,53,0.33029651852489855,0.0,0.06640308823190681,-0.032042432216558885,True,5,0.08485125479541733,5.041824526848113,2.4927122864255202,4.0
85,0.22695816100160224,0.9629629629629629,1.387777332977422,0.5925925925925926,0,449,29,67,0.3096029379649097,0.0,0.05361623293228766,-0.03233955821225794,True,2,0.11168005868428742,5.017791053587411,3.2893926941589458,4.0
116,0.2081538019902456,1.0,1.8954135676924424,0.4074074074074074,25,474,41,38,0.2813818111651772,0.0,0.05591799972873725,-0.03236279236822033,True,2,0.09833831742974675,5.634961568406169,2.783974401927651,4.0
67,0.23423450562802636,1.0,1.7533037597843888,0.4444444444444444,19,468,62,64,0.29683714304827097,0.0,0.0644732588158447,-0.026577397979476475,True,2,0.10007018764929031,6.146721867882592,2.4674449973624575,4.0
